GAME_DATE,HOME_TEAM,AWAY_TEAM,LOCATION,GAME_TIME
2024-06-07,racing louisville fc,houston dash,Lynn Family Stadium,8:00 PM ET
2024-06-07,san diego wave fc,orlando pride,Snapdragon Stadium,10:00 PM ET
2024-06-08,nj ny gotham fc,angel city fc,Red Bull Arena,12:30 PM ET
2024-06-08,utah royals fc,washington spirit,America First Field,7:30 PM ET
2024-06-08,portland thorns fc,north carolina courage,Providence Park,10:00 PM ET
2024-06-09,chicago red stars,bay fc,SeatGeek Stadium,4:00 PM ET
2024-06-09,kansas city current,seattle reign,CPKC Stadium,6:00 PM ET
2024-06-14,kansas city current,chicago red stars,CPKC Stadium,8:00 PM ET
2024-06-15,racing louisville fc,nj ny gotham fc,Lynn Family Stadium,1:00 PM ET
2024-06-15,washington spirit,san diego wave fc,Audi Field,7:30 PM ET
2024-06-15,north carolina courage,orlando pride,WakeMed Soccer Park,7:30 PM ET
2024-06-15,houston dash,angel city fc,Shell Energy Stadium,9:30 PM ET
2024-06-16,seattle reign,portland thorns fc,Lumen Field,4:00 PM ET
2024-06-16,bay fc,utah royals fc,PayPal Park,10:00 PM ET
2024-06-19,nj ny gotham fc,san diego wave fc,Red Bull Arena,7:00 PM ET
2024-06-19,angel city fc,racing louisville fc,BMO Stadium,10:00 PM ET
2024-06-21,orlando pride,utah royals fc,Inter&Co Stadium,8:00 PM ET
2024-06-22,houston dash,san diego wave fc,Shell Energy Stadium,7:30 PM ET
2024-06-22,bay fc,angel city fc,PayPal Park,10:00 PM ET
2024-06-23,nj ny gotham fc,washington spirit,Red Bull Arena,12:30 PM ET
2024-06-23,portland thorns fc,kansas city current,Providence Park,4:00 PM ET
2024-06-23,seattle reign,racing louisville fc,Lumen Field,6:00 PM ET
2024-06-23,north carolina courage,chicago red stars,WakeMed Soccer Park,6:00 PM ET
2024-06-28,kansas city current,houston dash,CPKC Stadium,8:00 PM ET
2024-06-28,san diego wave fc,chicago red stars,Snapdragon Stadium,10:00 PM ET
2024-06-29,racing louisville fc,bay fc,Lynn Family Stadium,4:00 PM ET
2024-06-29,washington spirit,north carolina courage,Audi Field,7:30 PM ET
2024-06-29,utah royals fc,portland thorns fc,America First Field,10:00 PM ET
2024-06-30,nj ny gotham fc,seattle reign,Red Bull Arena,1:00 PM ET
2024-06-30,angel city fc,orlando pride,BMO Stadium,7:30 PM ET
2024-07-05,portland thorns fc,san diego wave fc,Providence Park,10:00 PM ET
2024-07-06,chicago red stars,houston dash,SeatGeek Stadium,1:00 PM ET
2024-07-06,kansas city current,orlando pride,CPKC Stadium,7:30 PM ET
2024-07-06,bay fc,washington spirit,PayPal Park,10:00 PM ET
2024-07-06,angel city fc,nj ny gotham fc,BMO Stadium,10:00 PM ET
2024-07-07,north carolina courage,racing louisville fc,WakeMed Soccer Park,4:30 PM ET
2024-07-07,seattle reign,utah royals fc,Lumen Field,6:00 PM ET
2024-08-23,houston dash,orlando pride,Shell Energy Stadium,8:00 PM ET
2024-08-23,utah royals fc,bay fc,America First Field,9:30 PM ET
2024-08-24,nj ny gotham fc,portland thorns fc,Red Bull Arena,2:00 PM ET
2024-08-24,san diego wave fc,angel city fc,Snapdragon Stadium,4:00 PM ET
2024-08-24,racing louisville fc,chicago red stars,Lynn Family Stadium,7:30 PM ET
2024-08-25,washington spirit,kansas city current,Audi Field,12:00 PM ET
2024-08-25,seattle reign,north carolina courage,Lumen Field,10:00 PM ET
2024-08-30,portland thorns fc,bay fc,Providence Park,10:00 PM ET
2024-08-31,racing louisville fc,seattle reign,Lynn Family Stadium,7:30 PM ET
2024-08-31,houston dash,utah royals fc,Shell Energy Stadium,9:30 PM ET
